iter	Passed	Remaining
0	104	104651
1	105	52568
2	106	35301
3	107	26705
4	107	21462
5	108	17962
6	108	15460
7	109	13584
8	110	12121
9	114	11300
10	114	10298
11	114	9454
12	121	9261
13	122	8615
14	122	8052
15	126	7764
16	126	7316
17	126	6923
18	127	6568
19	127	6247
20	127	5957
21	128	5694
22	128	5453
23	128	5232
24	130	5076
25	130	4886
26	130	4711
27	131	4548
28	131	4396
29	131	4255
30	131	4122
31	132	3999
32	132	3882
33	132	3772
34	133	3668
35	133	3570
36	133	3478
37	133	3390
38	134	3308
39	134	3228
40	134	3153
41	135	3081
42	135	3013
43	135	2947
44	135	2885
45	136	2825
46	136	2768
47	136	2713
48	137	2660
49	137	2609
50	137	2561
51	137	2514
52	138	2469
53	138	2426
54	138	2384
55	139	2344
56	144	2396
57	145	2357
58	145	2319
59	145	2282
60	145	2247
61	146	2213
62	146	2180
63	146	2147
64	147	2116
65	147	2086
66	147	2056
67	147	2025
68	148	1997
69	148	1971
70	148	1944
71	148	1919
72	149	1894
73	149	1870
74	149	1847
75	150	1824
76	150	1801
77	150	1780
78	150	1759
79	151	1738
80	151	1718
81	151	1698
82	152	1679
83	152	1661
84	152	1643
85	153	1628
86	153	1611
87	154	1597
88	154	1580
89	154	1564
90	154	1548
91	155	1532
92	155	1517
93	155	1502
94	156	1487
95	156	1472
96	156	1458
97	156	1444
98	157	1431
99	157	1417
100	157	1404
101	157	1390
102	158	1377
103	158	1365
104	158	1352
105	159	1341
106	159	1329
107	159	1317
108	159	1306
109	160	1295
110	160	1284
111	160	1273
112	160	1263
113	161	1253
114	161	1242
115	161	1232
116	161	1222
117	162	1212
118	162	1202
119	162	1193
120	169	1234
121	170	1227
122	170	1217
123	171	1210
124	171	1203
125	172	1196
126	173	1189
127	173	1180
128	173	1173
129	174	1167
130	175	1160
131	175	1154
132	176	1148
133	176	1141
134	177	1135
135	177	1129
136	178	1123
137	179	1122
138	179	1114
139	180	1107
140	180	1099
141	180	1092
142	181	1085
143	191	1138
144	192	1132
145	192	1126
146	193	1120
147	193	1113
148	193	1106
149	194	1099
150	194	1092
151	194	1085
152	194	1078
153	195	1071
154	195	1065
155	195	1058
156	195	1052
157	196	1045
158	196	1039
159	196	1033
160	197	1027
161	197	1020
162	197	1014
163	197	1008
164	198	1003
165	198	997
166	198	991
167	199	985
168	199	980
169	200	980
170	201	975
171	201	971
172	202	967
173	202	963
174	203	959
175	203	954
176	209	974
177	210	972
178	210	966
179	211	961
180	211	956
181	211	952
182	212	948
183	212	944
184	213	939
185	213	934
186	213	930
187	214	925
188	214	920
189	214	916
190	215	911
191	215	907
192	215	903
193	216	898
194	216	894
195	216	889
196	217	885
197	217	881
198	217	876
199	218	872
200	218	868
201	218	864
202	219	860
203	219	856
204	219	851
205	219	847
206	220	843
207	220	839
208	220	835
209	221	831
210	221	827
211	221	823
212	221	820
213	222	816
214	222	812
215	223	809
216	223	805
217	223	802
218	223	798
219	224	795
220	224	791
221	224	788
222	225	784
223	225	781
224	225	778
225	226	774
226	226	771
227	226	767
228	227	764
229	227	761
230	227	757
231	227	754
232	228	751
233	228	748
234	228	745
235	229	741
236	229	738
237	229	735
238	230	732
239	230	729
240	230	726
241	230	723
242	231	720
243	231	717
244	231	714
245	232	711
246	232	708
247	232	705
248	232	702
249	233	699
250	233	696
251	233	694
252	234	691
253	234	688
254	234	686
255	235	683
256	235	680
257	235	677
258	235	675
259	236	672
260	236	669
261	236	667
262	237	664
263	237	661
264	237	659
265	237	656
266	238	653
267	238	651
268	238	648
269	239	646
270	239	643
271	239	641
272	239	638
273	240	636
274	240	633
275	240	631
276	240	629
277	241	626
278	241	624
279	241	621
280	242	619
281	242	617
282	242	614
283	242	612
284	243	610
285	243	607
286	243	605
287	244	603
288	244	601
289	244	598
290	244	596
291	245	594
292	245	592
293	245	590
294	245	587
295	246	585
296	246	583
297	246	581
298	247	579
299	247	577
300	247	575
301	247	573
302	248	570
303	248	568
304	248	566
305	249	564
306	249	562
307	249	561
308	249	558
309	250	556
310	250	554
311	250	553
312	251	551
313	251	549
314	251	547
315	251	545
316	252	543
317	252	541
318	252	539
319	253	537
320	253	535
321	253	534
322	253	532
323	254	530
324	254	528
325	254	526
326	255	524
327	255	523
328	255	521
329	255	519
330	256	517
331	256	515
332	256	514
333	257	512
334	257	510
335	257	509
336	257	507
337	258	505
338	258	503
339	258	502
340	259	500
341	259	498
342	259	497
343	259	495
344	260	493
345	260	492
346	260	490
347	260	488
348	261	487
349	261	485
350	261	484
351	262	482
352	262	480
353	262	479
354	262	477
355	263	476
356	263	474
357	263	473
358	264	471
359	264	469
360	264	468
361	264	466
362	265	465
363	265	463
364	265	462
365	266	460
366	266	459
367	266	457
368	266	456
369	267	454
370	267	453
371	267	451
372	268	450
373	268	449
374	268	447
375	268	446
376	269	444
377	269	443
378	269	441
379	269	440
380	270	439
381	270	437
382	270	436
383	271	434
384	271	433
385	271	431
386	271	430
387	272	429
388	272	427
389	272	426
390	272	425
391	273	423
392	273	422
393	273	421
394	274	419
395	274	418
396	274	417
397	274	415
398	275	414
399	275	413
400	275	411
401	276	410
402	276	409
403	276	408
404	276	406
405	277	405
406	277	404
407	277	402
408	277	401
409	278	400
410	278	399
411	278	397
412	279	396
413	279	395
414	279	394
415	279	392
416	280	391
417	280	390
418	280	389
419	280	387
420	281	386
421	281	385
422	281	384
423	282	383
424	282	381
425	282	380
426	282	379
427	283	378
428	283	377
429	283	376
430	284	374
431	284	373
432	284	372
433	284	371
434	285	370
435	285	369
436	285	368
437	285	366
438	286	365
439	286	364
440	286	363
