iter	Passed	Remaining
0	0	993
1	1	648
2	1	549
3	2	540
4	2	514
5	2	484
6	3	470
7	3	457
8	4	446
9	4	438
10	4	430
11	5	424
12	5	413
13	5	409
14	6	411
15	6	403
16	6	397
17	7	393
18	7	387
19	7	380
20	8	374
21	8	369
22	8	364
23	8	361
24	9	356
25	9	352
26	9	348
27	9	345
28	10	342
29	10	339
30	10	338
31	11	335
32	11	334
33	11	332
34	11	329
35	12	327
36	12	326
37	12	324
38	13	322
39	13	320
40	13	319
41	13	317
42	14	315
43	14	315
44	14	315
45	15	315
46	15	315
47	15	316
48	16	314
49	16	313
50	16	311
51	17	310
52	17	309
53	17	309
54	17	308
55	18	308
56	18	308
57	18	307
58	19	307
59	19	309
60	20	310
61	20	309
62	20	308
63	21	308
64	21	308
65	21	307
66	22	307
67	22	307
68	22	307
69	23	306
70	23	305
71	23	304
72	23	303
73	24	302
74	24	302
75	24	300
76	24	299
77	25	298
78	25	297
79	25	296
80	26	295
81	26	295
82	26	292
83	26	292
84	27	291
85	27	290
86	27	289
87	27	288
88	28	287
89	28	286
90	28	285
91	28	285
92	29	284
93	29	283
94	29	283
95	29	282
96	30	281
97	30	281
98	30	280
99	31	279
100	31	279
101	31	278
102	31	278
103	32	277
104	32	276
105	32	276
106	33	276
107	33	275
108	33	275
109	33	274
110	34	275
111	34	274
112	34	274
113	35	274
114	35	273
115	35	272
116	35	271
117	36	271
118	36	270
119	37	271
120	37	271
121	37	271
122	37	270
123	38	270
124	38	270
125	38	270
126	39	269
127	39	268
128	39	268
129	40	267
130	40	267
131	40	266
132	40	266
133	41	265
134	41	265
135	41	264
136	41	264
137	42	264
138	42	263
139	42	263
140	43	262
141	43	261
142	43	260
143	43	260
144	44	260
145	44	259
146	44	259
147	44	258
148	45	258
149	45	257
150	45	257
151	46	257
152	46	256
153	46	256
154	46	256
155	47	255
156	47	255
157	47	254
158	48	254
159	48	254
160	48	252
161	48	252
162	49	252
163	49	252
164	49	252
165	50	251
166	50	251
167	50	250
168	50	250
169	51	250
170	51	249
171	51	249
172	52	248
173	52	248
174	52	248
175	53	248
176	53	247
177	53	247
178	53	246
179	54	246
180	54	246
181	54	245
182	54	245
183	55	244
184	55	244
185	55	243
186	55	243
187	56	242
188	56	242
189	56	242
190	57	241
191	57	241
192	57	240
193	57	240
194	58	240
195	58	239
196	58	239
197	58	238
198	59	238
199	59	237
200	59	237
201	60	237
202	60	236
203	60	236
204	60	235
205	61	235
206	61	235
207	61	234
208	61	234
209	62	234
210	62	233
211	62	233
212	63	232
213	63	232
214	63	232
215	63	231
216	64	231
217	64	231
218	64	231
219	65	230
220	65	230
221	65	229
222	65	229
223	66	229
224	66	229
225	66	228
226	67	228
227	67	228
228	67	227
229	67	227
230	68	227
231	68	226
232	68	226
233	69	226
234	69	226
235	69	225
236	70	225
237	70	224
238	70	224
239	70	224
240	71	223
241	71	223
242	71	223
243	71	222
244	72	222
245	72	221
246	72	221
247	72	221
248	73	220
249	73	220
250	73	220
251	73	219
252	74	219
253	74	218
254	74	218
255	74	217
256	75	217
257	75	217
258	75	217
259	76	216
260	76	216
261	76	215
262	76	215
263	77	215
264	77	214
265	77	214
266	78	214
267	78	213
268	78	213
269	78	213
270	79	212
271	79	212
272	79	212
273	80	212
274	80	211
275	80	211
276	80	211
277	81	211
278	81	210
279	81	210
280	82	210
281	82	210
282	83	210
283	83	210
284	83	209
285	83	209
286	84	209
287	84	208
288	84	208
289	85	208
290	85	207
291	85	207
292	85	207
293	86	206
294	86	206
295	86	206
296	86	205
297	87	205
298	87	205
299	87	204
300	88	204
301	88	204
302	88	203
303	88	203
304	89	202
305	89	202
306	89	202
307	89	201
308	90	201
309	90	201
310	90	200
311	90	200
312	91	200
313	91	199
314	91	199
315	91	199
316	92	198
317	92	198
318	92	198
319	93	197
320	93	197
321	93	197
322	93	196
323	94	196
324	94	196
325	94	195
326	94	195
327	95	195
328	95	194
329	95	194
330	96	194
331	96	193
332	96	193
333	96	193
334	97	192
335	97	192
336	97	192
337	98	191
338	98	191
339	98	191
340	98	190
341	99	190
342	99	190
343	99	190
344	100	189
345	100	189
346	100	189
347	100	188
348	101	188
349	101	188
350	101	187
351	101	187
352	102	187
353	102	186
354	102	186
355	102	186
356	103	185
357	103	185
358	103	185
359	103	184
360	104	184
361	104	184
362	104	183
363	105	183
364	105	183
365	105	182
366	105	182
367	106	182
368	106	181
369	106	181
370	106	181
371	107	181
372	107	180
373	107	180
374	108	180
375	108	179
376	108	179
377	108	179
378	109	178
379	109	178
380	109	178
381	110	177
382	110	177
383	110	177
384	110	176
385	111	176
386	111	176
387	111	176
388	111	175
389	112	175
390	112	175
391	112	174
392	113	174
393	113	174
394	113	174
395	113	173
396	114	173
397	114	173
398	114	172
399	115	172
400	115	172
401	115	172
402	116	171
403	116	171
404	116	171
405	116	170
406	117	170
407	117	170
408	117	170
409	117	169
410	118	169
411	118	169
412	118	168
413	119	168
414	119	168
415	119	167
416	119	167
417	120	167
418	120	166
419	120	166
420	120	166
421	121	165
422	121	165
423	121	165
424	121	164
425	122	164
426	122	164
427	122	164
428	123	163
